"ID","Name","Type","rConc","Name","Type","Value","Quality","Call","Threshold","In Range","Out Range","Peak Ratio","Comments","treatment","Peak Call"
"S02-A01","mockhigh_102-2","Unknown",1,"ACTB","Test",14.6435161870304,0.934518769906031,"Pass",0.0222468576534276,91.2439085250883,999,1,"ok","mock_high","Pass"
"S02-A02","mockhigh_102-2","Unknown",1,"SP3","Test",12.6177749524998,1,"Pass",0.0222468576534276,82.3040830653704,999,1,"ok","mock_high","Pass"
"S02-A03","mockhigh_102-2","Unknown",1,"SLCO2B1","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","mock_high","Fail"
"S02-A04","mockhigh_102-2","Unknown",1,"RSU1","Test",13.6697609605969,1,"Pass",0.0222468576534276,83.7386159512521,999,1,"ok","mock_high","Pass"
"S02-A05","mockhigh_102-2","Unknown",1,"IL8","Test",13.7936596754712,1,"Pass",0.0222468576534276,83.4520985682029,999,1,"ok","mock_high","Pass"
"S02-A06","mockhigh_102-2","Unknown",1,"FZD7","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","mock_high","Fail"
"S02-A07","mockhigh_102-2","Unknown",1,"ABCC4","Test",13.8448647248874,1,"Pass",0.0222468576534276,81.2373223515872,999,1,"ok","mock_high","Pass"
"S02-A08","mockhigh_102-2","Unknown",1,"YBX1","Test",6.66639544257061,1,"Pass",0.0222468576534276,82.8330343956948,999,1,"ok","mock_high","Pass"
"S02-A09","mockhigh_102-2","Unknown",1,"PRKCB","Test",15.7596578605595,1,"Pass",0.0222468576534276,87.1915891870734,999,1,"ok","mock_high","Pass"
"S02-A10","mockhigh_102-2","Unknown",1,"DDIT4","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","mock_high","Fail"
"S02-A11","mockhigh_102-2","Unknown",1,"ABCB1","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","mock_high","Fail"
"S02-A12","mockhigh_102-2","Unknown",1,"LRP5","Test",16.596911989618,1,"Pass",0.0222468576534276,84.7997548065116,999,1,"ok","mock_high","Pass"
"S02-A13","mockhigh_102-2","Unknown",1,"ABCC5","Test",17.8910025693335,1,"Pass",0.0222468576534276,84.9049514883319,999,1,"ok","mock_high","Pass"
"S02-A14","mockhigh_102-2","Unknown",1,"NFYA","Test",14.860376253245,1,"Pass",0.0222468576534276,86.0629101729755,999,1,"ok","mock_high","Pass"
"S02-A15","mockhigh_102-2","Unknown",1,"CSK","Test",12.6010399629791,1,"Pass",0.0222468576534276,86.3374487026104,999,1,"ok","mock_high","Pass"
"S02-A16","mockhigh_102-2","Unknown",1,"SCML2","Test",15.5505736425417,1,"Pass",0.0222468576534276,82.3656921823397,999,1,"ok","mock_high","Pass"
"S02-A17","mockhigh_102-2","Unknown",1,"GAPDH","Test",8.11226930506923,1,"Pass",0.0222468576534276,87.9689874551789,999,1,"ok","mock_high","Pass"
"S02-A18","mockhigh_102-2","Unknown",1,"APCDD1","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","mock_high","Fail"
"S02-A19","mockhigh_102-2","Unknown",1,"WNK1","Test",14.2286655188401,1,"Pass",0.0222468576534276,84.1038704038564,999,1,"ok","mock_high","Pass"
"S02-A20","mockhigh_102-2","Unknown",1,"IL18","Test",15.9190524575918,1,"Pass",0.0222468576534276,81.5640634252078,999,1,"ok","mock_high","Pass"
"S02-A21","mockhigh_102-2","Unknown",1,"GCLC","Test",14.6269941010824,1,"Pass",0.0222468576534276,83.9159699416046,999,1,"ok","mock_high","Pass"
"S02-A22","mockhigh_102-2","Unknown",1,"MAPK1","Test",12.8067795663727,1,"Pass",0.0222468576534276,85.7750026474793,999,1,"ok","mock_high","Pass"
"S02-A23","mockhigh_102-2","Unknown",1,"MYC","Test",9.98413907780155,1,"Pass",0.0222468576534276,80.3029991623839,999,1,"ok","mock_high","Pass"
"S02-A24","mockhigh_102-2","Unknown",1,"OCT4","Test",21.8197069014105,0,"Fail",0.0222468576534276,999,999,0,"miss","mock_high","Fail"
"S02-A25","mockhigh_102-2","Unknown",1,"OSCAR","Test",999,0,"Fail",0.0222468576534276,999,999,0,"miss","mock_high","Fail"
"S02-A26","mockhigh_102-2","Unknown",1,"MPO","Test",7.36185195073499,1,"Pass",0.0222468576534276,88.6536758856955,999,1,"ok","mock_high","Pass"
"S02-A27","mockhigh_102-2","Unknown",1,"EZH1","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","mock_high","Fail"
"S02-A28","mockhigh_102-2","Unknown",1,"SLC7A7","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","mock_high","Fail"
"S02-A29","mockhigh_102-2","Unknown",1,"BRD4","Test",12.9034151816623,1,"Pass",0.0222468576534276,85.4483463559533,999,1,"ok","mock_high","Pass"
"S02-A30","mockhigh_102-2","Unknown",1,"DVL2","Test",16.5389454180942,1,"Pass",0.0222468576534276,87.1935678101755,999,1,"ok","mock_high","Pass"
"S02-A31","mockhigh_102-2","Unknown",1,"MT2A","Test",15.235247052294,1,"Pass",0.0222468576534276,89.946251936975,999,1,"ok","mock_high","Pass"
"S02-A32","mockhigh_102-2","Unknown",1,"NOTCH1","Test",17.9028868177824,1,"Pass",0.0222468576534276,90.0884643291331,999,1,"ok","mock_high","Pass"
"S02-A33","mockhigh_102-2","Unknown",1,"PTK2","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","mock_high","Fail"
"S02-A34","mockhigh_102-2","Unknown",1,"KRAS","Test",14.915323431098,1,"Pass",0.0222468576534276,75.7227641048472,999,1,"ok","mock_high","Pass"
"S02-A35","mockhigh_102-2","Unknown",1,"KMT2A","Test",17.9274260446218,1,"Pass",0.0222468576534276,82.1387974605072,999,1,"ok","mock_high","Pass"
"S02-A36","mockhigh_102-2","Unknown",1,"DAAM1","Test",15.8788176766485,1,"Pass",0.0222468576534276,84.9251142846161,999,1,"ok","mock_high","Pass"
"S02-A37","mockhigh_102-2","Unknown",1,"CTNNB","Test",14.3141382220422,1,"Pass",0.0222468576534276,84.0266003004852,999,1,"ok","mock_high","Pass"
"S02-A38","mockhigh_102-2","Unknown",1,"PTGS2","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","mock_high","Fail"
