"ID","Name","Type","rConc","Name","Type","Value","Quality","Call","Threshold","In Range","Out Range","Peak Ratio","Comments","treatment","Peak Call"
"S01-A01","48hlow_101-1","Unknown",1,"ACTB","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S01-A02","48hlow_101-1","Unknown",1,"SP3","Test",19.0125648468228,1,"Pass",0.0222468576534276,82.6831541739612,999,1,"ok","48h_low","Pass"
"S01-A03","48hlow_101-1","Unknown",1,"SLCO2B1","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S01-A04","48hlow_101-1","Unknown",1,"RSU1","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S01-A05","48hlow_101-1","Unknown",1,"IL8","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S01-A06","48hlow_101-1","Unknown",1,"FZD7","Test",18.2753139432765,1,"Pass",0.0222468576534276,81.8764317775233,999,1,"ok","48h_low","Pass"
"S01-A07","48hlow_101-1","Unknown",1,"ABCC4","Test",18.2440537925335,1,"Pass",0.0222468576534276,81.5458141778981,999,1,"ok","48h_low","Pass"
"S01-A08","48hlow_101-1","Unknown",1,"YBX1","Test",10.4822993698249,1,"Pass",0.0222468576534276,82.9947982382364,999,1,"ok","48h_low","Pass"
"S01-A09","48hlow_101-1","Unknown",1,"PRKCB","Test",25.6666672855729,0.568625202525211,"Fail",0.0222468576534276,70.1980214484798,999,1,"miss","48h_low","Fail"
"S01-A10","48hlow_101-1","Unknown",1,"DDIT4","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S01-A11","48hlow_101-1","Unknown",1,"ABCB1","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S01-A12","48hlow_101-1","Unknown",1,"LRP5","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S01-A13","48hlow_101-1","Unknown",1,"ABCC5","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S01-A14","48hlow_101-1","Unknown",1,"NFYA","Test",17.8556432162403,1,"Pass",0.0222468576534276,86.2317004750003,999,1,"ok","48h_low","Pass"
"S01-A15","48hlow_101-1","Unknown",1,"CSK","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S01-A16","48hlow_101-1","Unknown",1,"SCML2","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S01-A17","48hlow_101-1","Unknown",1,"GAPDH","Test",15.395084634981,1,"Pass",0.0222468576534276,86.9969806818062,999,1,"miss","48h_low","Fail"
"S01-A18","48hlow_101-1","Unknown",1,"APCDD1","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S01-A19","48hlow_101-1","Unknown",1,"WNK1","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S01-A20","48hlow_101-1","Unknown",1,"IL18","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
